Team,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TRB,AST,STL,BLK,TOV,W,L
CLE,82,121.9,44.5,90.8,0.491,15.9,41.5,0.383,17.0,21.9,0.776,45.4,28.1,8.2,4.3,12.5,64,18
MEM,82,121.7,44.8,93.3,0.479,13.9,37.9,0.367,18.3,23.3,0.786,47.3,28.4,8.9,5.6,15.0,48,34
DEN,82,120.8,45.4,89.8,0.506,12.0,31.9,0.376,17.9,23.3,0.77,45.7,31.0,8.0,4.9,13.5,50,32
OKC,82,120.5,44.6,92.7,0.482,14.5,38.8,0.374,16.7,20.4,0.819,44.8,26.9,10.3,5.7,11.0,68,14
ATL,82,118.2,43.4,91.8,0.472,13.5,37.7,0.358,18.0,23.2,0.775,44.5,29.6,9.7,5.1,14.7,40,42
CHI,82,117.8,43.2,92.0,0.47,15.4,42.0,0.367,16.0,19.7,0.809,45.9,29.1,7.6,4.7,13.9,39,43
IND,82,117.4,43.6,89.3,0.488,13.2,35.8,0.368,17.0,21.6,0.789,41.8,29.2,8.5,5.5,12.2,50,32
BOS,82,116.3,41.6,90.0,0.462,17.8,48.2,0.368,15.3,19.1,0.799,45.3,26.1,7.2,5.5,11.4,61,21
NYK,82,115.8,43.3,89.2,0.486,12.6,34.1,0.369,16.5,20.7,0.8,42.6,27.5,8.2,4.0,12.2,51,31
SAC,82,115.7,43.0,90.1,0.478,12.6,35.2,0.357,17.1,21.2,0.806,44.2,26.5,7.6,4.4,12.6,40,42
MIL,82,115.5,42.0,86.4,0.486,14.2,36.6,0.387,17.3,23.1,0.75,43.4,25.5,7.3,4.7,12.8,48,34
DET,82,115.5,42.7,89.8,0.476,12.8,35.4,0.362,17.2,22.3,0.774,44.8,26.4,8.0,5.3,14.1,44,38
HOU,82,114.3,42.5,93.4,0.455,12.7,35.8,0.353,16.7,22.6,0.738,48.5,23.3,8.4,5.0,13.0,52,30
MIN,82,114.3,41.0,87.6,0.468,15.0,39.9,0.377,17.2,21.8,0.789,44.3,26.1,8.0,5.0,13.7,49,33
DAL,82,114.2,42.0,87.7,0.479,12.4,34.2,0.364,17.8,23.1,0.77,43.0,25.2,7.8,5.4,13.3,39,43
SAS,82,113.9,41.8,89.8,0.465,14.1,39.6,0.357,16.2,21.0,0.774,43.7,28.6,8.2,5.5,13.3,34,48
GSW,82,113.8,40.8,90.4,0.451,15.4,42.4,0.364,16.9,22.1,0.764,45.4,29.1,9.4,4.8,13.2,48,34
PHO,82,113.6,41.2,86.3,0.478,14.3,38.0,0.378,16.8,20.8,0.81,42.5,27.8,7.2,4.8,13.2,36,46
LAL,82,113.4,40.9,85.5,0.479,13.3,36.4,0.366,18.2,23.2,0.785,42.4,26.0,7.7,4.5,13.1,50,32
LAC,82,112.9,41.6,86.3,0.482,12.5,33.4,0.373,17.3,21.7,0.797,43.8,25.2,9.4,4.5,13.8,50,32
UTA,82,111.9,40.3,88.7,0.454,14.0,39.8,0.35,17.3,22.4,0.774,45.4,25.5,6.8,4.4,16.5,17,65
POR,82,110.9,40.5,90.2,0.45,12.9,37.7,0.342,16.9,22.2,0.762,44.8,23.8,8.3,5.3,15.1,36,46
TOR,82,110.9,41.6,91.0,0.458,11.8,34.0,0.348,15.8,21.1,0.748,45.1,28.5,8.1,4.2,14.7,30,52
MIA,82,110.6,40.5,87.0,0.465,13.7,37.3,0.367,16.0,20.2,0.791,43.4,26.4,8.1,3.8,12.6,37,45
NOP,82,109.8,40.6,89.9,0.452,12.0,34.6,0.347,16.5,21.9,0.754,43.6,25.8,8.5,5.2,13.9,21,61
PHI,82,109.6,39.7,87.4,0.454,12.7,37.2,0.341,17.5,22.5,0.78,39.8,23.2,9.2,4.5,12.8,24,58
WAS,82,108.0,39.4,89.9,0.439,13.1,39.1,0.335,16.0,20.6,0.778,43.7,25.1,7.6,5.1,14.9,18,64
ORL,82,105.4,38.2,85.8,0.445,11.2,35.3,0.318,17.9,23.0,0.775,41.8,23.0,8.9,6.0,13.1,41,41
BRK,82,105.1,37.6,86.1,0.437,13.6,39.4,0.344,16.3,20.7,0.787,41.3,25.2,7.8,4.3,13.9,26,56
CHO,82,105.1,38.3,89.1,0.43,13.0,38.3,0.339,15.5,19.8,0.783,45.2,24.3,7.4,4.5,14.9,19,63
